382	4	1	9	4	192	6	222	18
383	4	1	9	5	192	6	222	18
384	4	1	9	6	192	6	222	18
385	4	1	9	7	226	7	262	20
386	4	1	9	8	100	3	120	12
388	4	1	10	4	100	3	120	12
389	4	1	10	5	100	3	120	12
390	4	1	10	6	100	3	120	12
392	5	0	1	2	160	6	194	18
393	5	0	1	3	432	12	486	30
394	5	0	1	4	432	12	486	30
395	5	1	1	5	192	6	222	18
396	5	1	1	6	192	6	222	18
397	5	1	1	7	192	6	222	18
398	5	1	1	8	192	6	222	18
399	5	1	1	9	164	5	194	16
400	5	0	2	0	307	10	360	26
401	5	0	2	1	160	6	194	18
402	5	0	2	2	307	10	360	26
403	5	0	2	3	432	12	486	30
404	5	0	2	4	432	12	486	30
405	5	0	2	5	432	12	486	30
406	5	1	2	6	192	6	222	18
407	5	1	2	7	192	6	222	18
408	5	1	2	8	192	6	222	18
409	5	1	2	9	226	7	262	20
411	5	0	3	0	432	12	486	30
412	5	0	3	1	432	12	486	30
413	5	0	3	2	432	12	486	30
414	5	0	3	3	432	12	486	30
415	5	0	3	4	432	12	486	30
416	5	0	3	5	432	12	486	30
417	5	1	3	6	192	6	222	18
418	5	1	3	7	192	6	222	18
419	5	1	3	8	192	6	222	18
420	5	1	3	9	192	6	222	18
421	5	1	3	10	100	3	120	12
422	5	0	4	0	432	12	486	30
423	5	0	4	1	432	12	486	30
424	5	0	4	2	432	12	486	30
425	5	0	4	3	432	12	486	30
426	5	0	4	4	432	12	486	30
427	5	0	4	5	432	12	486	30
428	5	1	4	6	192	6	222	18
429	5	1	4	7	192	6	222	18
430	5	1	4	8	192	6	222	18
431	5	1	4	9	192	6	222	18
432	5	1	4	10	164	5	194	16
433	5	1	5	0	192	6	222	18
434	5	0	5	1	432	12	486	30
435	5	0	5	2	432	12	486	30
436	5	0	5	3	432	12	486	30
437	5	1	5	4	192	6	222	18
438	5	1	5	5	192	6	222	18
439	5	1	5	6	192	6	222	18
440	5	1	5	7	192	6	222	18
441	5	1	5	8	192	6	222	18
442	5	1	5	9	192	6	222	18
443	5	1	5	10	100	3	120	12
444	5	1	6	0	192	6	222	18
445	5	1	6	1	192	6	222	18
